"Ligand"	"Receptor"	"neighborhood"	"neighborhood_transferred"	"fusion"	"cooccurence"	"homology"	"coexpression"	"coexpression_transferred"	"experiments"	"experiments_transferred"	"database"	"database_transferred"	"textmining"	"textmining_transferred"	"combined_score"
"App.Grin2c"	"App"	"Grin2c"	0	0	0	0	0	0	0	0	0	0	0	83	191	226
"App.Ncstn"	"App"	"Ncstn"	0	0	0	0	0	0	0	539	65	0	0	751	426	930
"Wnt3.Fgfr4"	"Wnt3"	"Fgfr4"	0	0	0	0	0	0	0	0	110	0	0	118	151	275
"Fgf23.Fgfr4"	"Fgf23"	"Fgfr4"	0	0	0	0	0	0	0	517	165	900	0	602	437	989
"Fgf6.Fgfr4"	"Fgf6"	"Fgfr4"	0	0	0	0	0	0	0	0	588	900	446	926	219	998
"Ins2.Fgfr4"	"Ins2"	"Fgfr4"	0	0	0	0	0	0	0	0	80	800	0	66	141	832
"Cdh1.Fgfr4"	"Cdh1"	"Fgfr4"	0	0	0	0	0	0	0	0	167	0	391	205	0	561
"Pdgfb.Fgfr4"	"Pdgfb"	"Fgfr4"	0	0	0	0	0	0	0	0	172	800	310	174	0	892
"Efnb2.Fgfr4"	"Efnb2"	"Fgfr4"	0	0	0	0	0	0	0	0	154	0	0	49	75	190
"Col1a1.Fgfr4"	"Col1a1"	"Fgfr4"	0	0	0	0	0	0	0	0	0	0	0	101	142	195
"Tgfb1.Fgfr4"	"Tgfb1"	"Fgfr4"	0	0	0	0	0	0	0	0	87	0	0	213	68	271
"Shh.Fgfr4"	"Shh"	"Fgfr4"	0	0	0	0	0	0	0	0	0	0	0	270	423	561
"Pspn.Fgfr4"	"Pspn"	"Fgfr4"	0	0	0	0	0	0	0	0	0	0	0	0	511	511
"Efna2.Fgfr4"	"Efna2"	"Fgfr4"	0	0	0	0	0	0	0	0	154	800	0	91	69	837
"Tgfb3.Fgfr4"	"Tgfb3"	"Fgfr4"	0	0	0	0	0	0	0	0	87	0	0	126	68	191
"Efnb3.Fgfr4"	"Efnb3"	"Fgfr4"	0	0	0	0	0	0	0	0	154	0	0	0	69	178
"Pgf.Fgfr4"	"Pgf"	"Fgfr4"	0	0	0	0	0	0	0	0	129	800	310	42	85	875
"Nid1.Itgb2l"	"Nid1"	"Itgb2l"	0	0	0	0	0	0	0	0	84	0	369	0	130	453
"Nid1.Pdgfra"	"Nid1"	"Pdgfra"	0	0	0	0	0	406	0	0	0	0	0	61	0	418
"Nid1.Itgb7"	"Nid1"	"Itgb7"	0	0	0	0	0	0	0	0	106	0	436	69	180	563
"Nid1.Itga3"	"Nid1"	"Itga3"	0	0	0	0	0	0	0	0	0	0	559	124	0	597
"Nid1.Axl"	"Nid1"	"Axl"	0	0	0	0	0	163	0	0	0	0	0	54	67	196
"Nid1.Cd79a"	"Nid1"	"Cd79a"	0	0	0	0	0	0	0	0	0	0	0	136	75	166
